グランブルーファンタジーレ・フィーエ1/8完成品フィギュア[リボルブ]《０３月予約》,備考,※あみあみ限定特典は付きません。,商品コード,FIGURE-018619,発売日,１７年０３月未定,ブランド名,リボルブ,原作名,GRANBLUE FANTASY,キャラ名,レ・フィーエ,造型師,
【あみあみ限定特典】グランブルーファンタジーレ・フィーエ1/8完成品フィギュア[リボルブ]《０３月予約》,備考,※あみあみ限定特典が付きます。,商品コード,FIGURE-018620,発売日,１７年０３月未定,ブランド名,リボルブ,原作名,GRANBLUE FANTASY,キャラ名,レ・フィーエ,造型師,
貞影イラスト夢魔アスタシア(Astacia)1/5.5完成品フィギュア[ダイキ工業]《１０月予約》,備考,※あみあみ限定特典は付きません。,商品コード,FIGURE-018642,発売日,１６年１０月未定,ブランド名,ダイキ工業,原作名,≪オリジナルキャラクター≫,キャラ名,アスタシア,造型師,
【あみあみ限定特典】セブンスドラゴンIIIcode：VFDルーンナイト(ウーリェ)1/7完成品フィギュア[ヴェルテクス]《１０月予約》,備考,※あみあみ限定特典が付きます。,商品コード,FIGURE-018717,発売日,１６年１０月未定,ブランド名,ヴェルテクス,原作名,セブンスドラゴンIII code：VFD,セブンスドラゴン,キャラ名,ルーンナイト(ウーリェ),
Fate/GrandOrderセイバー/アルトリア・ペンドラゴン[オルタ]ドレスVer.1/7完成品フィギュア[アルター]《１１月予約》,商品コード,FIGURE-018718,発売日,１６年１１月未定,ブランド名,ALTER(アルター),原作名,Fate/Grand Order,『Fate』シリーズ,キャラ名,セイバーオルタ,造型師,のぶた,
うたわれるもの偽りの仮面ネコネ1/7完成品フィギュア[ファニーナイツ]《０８月予約》,商品コード,FIGURE-018719,発売日,１６年０８月未定,ブランド名,アオシマ,ファニーナイツ,原作名,うたわれるもの 偽りの仮面,うたわれるもの,キャラ名,ネコネ,造型師,
あみあみ限定版サノバウィッチ椎葉紬1/7完成品フィギュア[ブロッコリー]《１０月予約》,備考,※あみあみ限定特典は付きません。,商品コード,FIGURE-018732,発売日,１６年１０月未定,ブランド名,ブロッコリー,原作名,サノバウィッチ,キャラ名,椎葉紬,造型師,
【あみあみ限定版＋限定特典】サノバウィッチ椎葉紬1/7完成品フィギュア[ブロッコリー]《１０月予約》,備考,※あみあみ限定特典が付きます。,商品コード,FIGURE-018733,発売日,１６年１０月未定,ブランド名,ブロッコリー,原作名,サノバウィッチ,キャラ名,椎葉紬,造型師,
【あみあみ限定特典】T2アート☆ガールズお嬢様のいたずら鐘火八重1/6完成品フィギュア（再販）[スカイチューブ]《１０月予約》,備考,※あみあみ限定特典が付きます。,商品コード,FIGURE-018734,発売日,１６年１０月未定,ブランド名,SkyTube(スカイチューブ),原作名,T2アート☆ガールズ,キャラ名,鐘火八重(お嬢様のいたずら),造型師,
【あみあみ限定特典】貞影イラスト夢魔アスタシア(Astacia)1/5.5完成品フィギュア[ダイキ工業]《１０月予約》,備考,※あみあみ限定特典が付きます。,商品コード,FIGURE-018735,発売日,１６年１０月未定,ブランド名,ダイキ工業,原作名,≪オリジナルキャラクター≫,キャラ名,アスタシア,造型師,
ねんどろいど艦隊これくしょん-艦これ-翔鶴[グッドスマイルカンパニー]《０９月予約》,備考,※こちらは「翔鶴」単品です。「瑞鶴」単品とまとめてご注文頂いても同時購入特典は付属しません。,商品コード,FIGURE-018739,発売日,１６年０９月未定,ブランド名,グッドスマイルカンパニー,シリーズ名,『ねんどろいど』シリーズ,ねんどろいど,原作名,艦隊これくしょん -艦これ-,
ねんどろいど艦隊これくしょん-艦これ-瑞鶴[グッドスマイルカンパニー]《０９月予約》,備考,※こちらは「瑞鶴」単品です。「翔鶴」単品とまとめてご注文頂いても同時購入特典は付属しません。,商品コード,FIGURE-018740,発売日,１６年０９月未定,ブランド名,グッドスマイルカンパニー,シリーズ名,『ねんどろいど』シリーズ,ねんどろいど,原作名,艦隊これくしょん -艦これ-,
【特典】ねんどろいど艦隊これくしょん-艦これ-翔鶴＆瑞鶴2種セット[グッドスマイルカンパニー]《０９月予約》,商品コード,FIGURE-018741,発売日,１６年０９月未定,ブランド名,グッドスマイルカンパニー,シリーズ名,『ねんどろいど』シリーズ,ねんどろいど,原作名,艦隊これくしょん -艦これ-,キャラ名,翔鶴,
艦隊これくしょん-艦これ-金剛1/7完成品フィギュア[ファット・カンパニー]《０９月予約》,商品コード,FIGURE-018742,発売日,１６年０９月未定,ブランド名,ファット・カンパニー,原作名,艦隊これくしょん -艦これ-,キャラ名,金剛,造型師,阿部昴大(Fenrir)/りゅういち(ピースメーカー), ,
B-STYLEIS〈インフィニット・ストラトス〉更識楯無バニーVer.1/4完成品フィギュア[フリーイング]《１０月予約》,商品コード,FIGURE-018743,発売日,１６年１０月未定,ブランド名,FREEing(フリーイング),シリーズ名,B-STYLE,原作名,IS〈インフィニット・ストラトス〉,『IS〈インフィニット・ストラトス〉』シリーズ,キャラ名,更識楯無,
